Accession,FullDescription,Description,Species,Biological Process,Cellular Component,Molecular Function,WikiPathways,Reactome Pathways,KEGG Pathways
P25815,Protein S100-P OS=Homo sapiens OX=9606 GN=S100P PE=1 SV=2,Protein S100-P,Homo sapiens,transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;nucleus;other cell component,other molecular function,Gastric cancer network 1; Glucocorticoid receptor pathway; Nuclear receptors meta-pathway,Neutrophil degranulation,
O43866,CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1,CD5 antigen-like,Homo sapiens,protein metabolism;other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,other molecular function,,,
H0YNE9,Ras-related protein Rab-8B (Fragment) OS=Homo sapiens OX=9606 GN=RAB8B PE=1 SV=1,Ras-related protein Rab-8B (Fragment),Homo sapiens,,,other molecular function,Ectoderm differentiation; Ectoderm differentiation,,
P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,Filamin-A,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Androgen receptor signaling pathway; Prolactin signaling pathway; Focal adhesion; Hypothesized pathways in pathogenesis of cardiovascular disease; MAPK signaling pathway; IL-4 signaling pathway; Ebola virus pathway in host; Joubert syndrome,RHO GTPases activate PAKs; Platelet degranulation ; GP1b-IX-V activation signalling; OAS antiviral response; Cell-extracellular matrix interactions,MAPK signaling pathway; Focal adhesion; Salmonella infection; Proteoglycans in cancer
E7EMG9,Lymphocyte-specific protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=LSP1 PE=1 SV=1,Lymphocyte-specific protein 1 (Fragment),Homo sapiens,signal transduction,,cytoskeletal activity,,,
O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,D-3-phosphoglycerate dehydrogenase,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;developmental processes;other biological processes,cytosol,other molecular function,Trans-sulfuration and one-carbon metabolism; Clear cell renal cell carcinoma pathways; Neuroinflammation and glutamatergic signaling,Serine biosynthesis,"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Metabolic pathways; Carbon metabolism; Biosynthesis of amino acids"
P53396,ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3,ATP-citrate synthase,Homo sapiens,other metabolic processes;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;nucleus;other cytoplasmic organelle;other cell component,other molecular function,Sterol regulatory element-binding proteins (SREBP) signaling; TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc); Fatty acid biosynthesis; Amino acid metabolism; Lipid metabolism pathway; Clear cell renal cell carcinoma pathways; Metabolic reprogramming in colon cancer,Neutrophil degranulation; ChREBP activates metabolic gene expression; Fatty acyl-CoA biosynthesis,Citrate cycle (TCA cycle); Metabolic pathways
B7ZKJ8,ITIH4 protein OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=1,ITIH4 protein,Homo sapiens,other metabolic processes;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,enzyme regulator activity,Network map of SARS-CoV-2 signaling pathway,,
O14980,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,Exportin-1,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;transport;other biological processes,other membranes;cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,eIF5A regulation in response to inhibition of the nuclear export system; 22q11.2 copy number variation syndrome,Separation of Sister Chromatids; MAPK6/MAPK4 signaling; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; EML4 and NUDC in mitotic spindle formation; Rev-mediated nuclear export of HIV RNA; NEP/NS2 Interacts with the Cellular Export Machinery; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Heme signaling; Deactivation of the beta-catenin transactivating complex; Estrogen-dependent nuclear events downstream of ESR-membrane signaling; Downregulation of TGF-beta receptor signaling; HuR (ELAVL1) binds and stabilizes mRNA; Cyclin A/B1/B2 associated events during G2/M transition,Ribosome biogenesis in eukaryotes; Nucleocytoplasmic transport; Influenza A; Human T-cell leukemia virus 1 infection
P51159,Ras-related protein Rab-27A OS=Homo sapiens OX=9606 GN=RAB27A PE=1 SV=3,Ras-related protein Rab-27A,Homo sapiens,cell organization and biogenesis;stress response;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component,cytoskeletal activity;other molecular function,Deregulation of Rab and Rab effector genes in bladder cancer; Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells,Neutrophil degranulation; RAB geranylgeranylation; RAB GEFs exchange GTP for GDP on RABs; Insulin processing,
P52907,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,F-actin-capping protein subunit alpha-1,Homo sapiens,cell organization and biogenesis;stress response;transport;signal transduction;other biological processes,non-structural extracellular;cytosol;cytoskeleton;other cell component,cytoskeletal activity,,MHC class II antigen presentation; Advanced glycosylation endproduct receptor signaling; COPI-independent Golgi-to-ER retrograde traffic; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Sensory processing of sound by inner hair cells of the cochlea; COPI-mediated anterograde transport; Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation; Factors involved in megakaryocyte development and platelet production,Endocytosis
Q92804,TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,TATA-binding protein-associated factor 2N,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,,RNA Polymerase II Pre-transcription Events; HIV Transcription Initiation; RNA Polymerase II HIV Promoter Escape; RNA Polymerase II Promoter Escape; RNA Polymerase II Transcription Pre-Initiation And Promoter Opening; RNA Polymerase II Transcription Initiation; Regulation of TP53 Activity through Phosphorylation,Basal transcription factors; Transcriptional misregulation in cancer
F5GY90,Hydroxymethylbilane synthase (Fragment) OS=Homo sapiens OX=9606 GN=HMBS PE=1 SV=1,Hydroxymethylbilane synthase (Fragment),Homo sapiens,other metabolic processes,,other molecular function,,,
P11215,Integrin alpha-M OS=Homo sapiens OX=9606 GN=ITGAM PE=1 SV=2,Integrin alpha-M,Homo sapiens,cell adhesion;cell-cell signaling;cell organization and biogenesis;stress response;transport;developmental processes;signal transduction;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,signal transduction activity or receptor binding;other molecular function,Integrin-mediated cell adhesion; Vitamin D receptor pathway; Microglia pathogen phagocytosis pathway; TYROBP causal network in microglia; Fibrin complement receptor 3 signaling pathway; Complement system in neuronal development and plasticity,Cell surface interactions at the vascular wall; Neutrophil degranulation; Integrin cell surface interactions; Toll Like Receptor 4 (TLR4) Cascade; Interleukin-4 and Interleukin-13 signaling,Rap1 signaling pathway; Phagosome; Cell adhesion molecules; Complement and coagulation cascades; Neutrophil extracellular trap formation; Hematopoietic cell lineage; Leukocyte transendothelial migration; Regulation of actin cytoskeleton; Pertussis; Legionellosis; Leishmaniasis; Amoebiasis; Staphylococcus aureus infection; Tuberculosis; Transcriptional misregulation in cancer; Acute myeloid leukemia
S4R3G0,Serine/arginine-rich-splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1,Serine/arginine-rich-splicing factor 9,Homo sapiens,,,nucleic acid binding activity,,,
A0A3B3ISU0,Desmocollin-2 OS=Homo sapiens OX=9606 GN=DSC2 PE=1 SV=1,Desmocollin-2,Homo sapiens,cell adhesion,plasma membrane;other membranes;other cell component,other molecular function,Arrhythmogenic right ventricular cardiomyopathy,,
P24539,"ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2","ATP synthase F(0) complex subunit B1, mitochondrial",Homo sapiens,cell organization and biogenesis;other metabolic processes;transport,other membranes;mitochondrion;nucleus,transporter activity,Electron transport chain: OXPHOS system in mitochondria; 7q11.23 copy number variation syndrome; Oxidative phosphorylation,Cristae formation; Formation of ATP by chemiosmotic coupling,Oxidative phosphorylation; Metabolic pathways; Thermogenesis; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration; Chemical carcinogenesis; Diabetic cardiomyopathy
P13489,Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2,Ribonuclease inhibitor,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,non-structural extracellular;cytosol;nucleus,enzyme regulator activity,,,
Q8N163,Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2,Cell cycle and apoptosis regulator protein 2,Homo sapiens,cell-cell signaling;cell cycle OR cell proliferation;cell organization and biogenesis;RNA metabolism OR transcription;other metabolic processes;stress response;signal transduction;other biological processes,cytoskeleton;mitochondrion;nucleus;other cell component,enzyme regulator activity;other molecular function,,Regulation of HSF1-mediated heat shock response,
P48594,Serpin B4 OS=Homo sapiens OX=9606 GN=SERPINB4 PE=1 SV=2,Serpin B4,Homo sapiens,other biological processes,non-structural extracellular;other cell component,enzyme regulator activity;other molecular function,,,Amoebiasis
Q6P4A8,Phospholipase B-like 1 OS=Homo sapiens OX=9606 GN=PLBD1 PE=1 SV=2,Phospholipase B-like 1,Homo sapiens,other metabolic processes,non-structural extracellular;cytosol;other cytoplasmic organelle,other molecular function,,Acyl chain remodelling of PC; Acyl chain remodelling of PE; Acyl chain remodelling of PI; Hydrolysis of LPC,
P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,Ubiquitin-like modifier-activating enzyme 1,Homo sapiens,protein metabolism;other metabolic processes;stress response,cytosol;mitochondrion;nucleus;other cell component,other molecular function,Proteasome degradation; Parkin-ubiquitin proteasomal system pathway; Parkinson's disease pathway,Synthesis of active ubiquitin: roles of E1 and E2 enzymes; Antigen processing: Ubiquitination & Proteasome degradation,Ubiquitin mediated proteolysis; Parkinson disease; Pathways of neurodegeneration
H9KV45,Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1,Ubiquitin-conjugating enzyme E2 D3,Homo sapiens,,,other molecular function,,,
B0QZK4,Heterochromatin protein 1-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,Heterochromatin protein 1-binding protein 3 (Fragment),Homo sapiens,cell organization and biogenesis;other biological processes,nucleus;other cell component,nucleic acid binding activity;other molecular function,,,
Q02790,Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3,Peptidyl-prolyl cis-trans isomerase FKBP4,Homo sapiens,protein metabolism;other metabolic processes;transport;other biological processes,cytosol;cytoskeleton;mitochondrion;nucleus;other cell component,cytoskeletal activity;other molecular function,Androgen receptor signaling pathway,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Potential therapeutics for SARS; Estrogen-dependent gene expression; Attenuation phase,Estrogen signaling pathway
P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,Proteasome subunit beta type-1,Homo sapiens,cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,non-structural extracellular;cytosol;nucleus;other cell component,other molecular function,Proteasome degradation; Alzheimer's disease and miRNA effects; Alzheimer's disease,ER-Phagosome pathway; Neutrophil degranulation; MAPK6/MAPK4 signaling; Antigen processing: Ubiquitination & Proteasome degradation; FCERI mediated NF-kB activation; Separation of Sister Chromatids; The role of GTSE1 in G2/M progression after G2 checkpoint; AUF1 (hnRNP D0) binds and destabilizes mRNA; Downstream TCR signaling; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Ubiquitin-dependent degradation of Cyclin D; SCF(Skp2)-mediated degradation of p27/p21; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Cross-presentation of soluble exogenous antigens (endosomes); SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Vpu mediated degradation of CD4; Vif-mediated degradation of APOBEC3G; Degradation of beta-catenin by the destruction complex; Regulation of activated PAK-2p34 by proteasome mediated degradation; Autodegradation of the E3 ubiquitin ligase COP1; Regulation of ornithine decarboxylase (ODC); ABC-family proteins mediated transport; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; Regulation of RAS by GAPs; NIK-->noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis; UCH proteinases; Ub-specific processing proteases; CDT1 association with the CDC6:ORC:origin complex; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; ROS sensing by NFE2L2; Regulation of RUNX2 expression and activity; Regulation of PTEN stability and activity; Neddylation; Regulation of expression of SLITs and ROBOs; Interleukin-1 signaling; Autodegradation of Cdh1 by Cdh1:APC/C; Regulation of RUNX3 expression and activity; Negative regulation of NOTCH4 signaling,Proteasome; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Prion disease; Pathways of neurodegeneration
P21796,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens OX=9606 GN=VDAC1 PE=1 SV=2,Voltage-dependent anion-selective channel protein 1,Homo sapiens,cell-cell signaling;other metabolic processes;stress response;transport;other biological processes,plasma membrane;other membranes;mitochondrion;ER/Golgi,transporter activity;other molecular function,Alzheimer's disease and miRNA effects; Alzheimer's disease,Ub-specific processing proteases; Pyruvate metabolism; PINK1-PRKN Mediated Mitophagy; Mitochondrial protein import; Mitochondrial calcium ion transport,Calcium signaling pathway; cGMP-PKG signaling pathway; Necroptosis; Cellular senescence; Neutrophil extracellular trap formation; NOD-like receptor signaling pathway; Cholesterol metabolism; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Prion disease; Pathways of neurodegeneration; Shigellosis; Influenza A; Human T-cell leukemia virus 1 infection; Chemical carcinogenesis; Diabetic cardiomyopathy
P04217,Alpha-1B-glycoprotein OS=Homo sapiens OX=9606 GN=A1BG PE=1 SV=4,Alpha-1B-glycoprotein,Homo sapiens,transport,non-structural extracellular;other cell component,,Network map of SARS-CoV-2 signaling pathway,Neutrophil degranulation; Platelet degranulation,
P54577,"Tyrosine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=YARS1 PE=1 SV=4","Tyrosine--tRNA ligase, cytoplasmic",Homo sapiens,protein metabolism;RNA metabolism OR transcription;other metabolic processes;other biological processes,non-structural extracellular;cytosol;nucleus;other cell component,signal transduction activity or receptor binding;nucleic acid binding activity;other molecular function,Nephrotic syndrome,Cytosolic tRNA aminoacylation,Aminoacyl-tRNA biosynthesis
H3BPG0,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Fragment)",Homo sapiens,other metabolic processes;transport,other membranes;mitochondrion,transporter activity,Mitochondrial complex IV assembly,,
P23469,Receptor-type tyrosine-protein phosphatase epsilon OS=Homo sapiens OX=9606 GN=PTPRE PE=1 SV=1,Receptor-type tyrosine-protein phosphatase epsilon,Homo sapiens,protein metabolism;other metabolic processes;other biological processes,plasma membrane;other membranes;nucleus;other cell component,other molecular function,,,
H7BZW6,Histone deacetylase complex subunit SAP18 (Fragment) OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=2,Histone deacetylase complex subunit SAP18 (Fragment),Homo sapiens,,cytosol;nucleus,,,,
Q96QK1,Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2,Vacuolar protein sorting-associated protein 35,Homo sapiens,cell-cell signaling;cell organization and biogenesis;transport;signal transduction;other biological processes,other membranes;cytosol;other cytoplasmic organelle;other cell component,signal transduction activity or receptor binding,,WNT ligand biogenesis and trafficking,Endocytosis
P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,26S proteasome regulatory subunit 6B,Homo sapiens,cell-cell signaling;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,cytosol;nucleus;other cell component,other molecular function,Proteasome degradation; Alzheimer's disease and miRNA effects; Parkin-ubiquitin proteasomal system pathway; Ciliary landscape; Alzheimer's disease,FCERI mediated NF-kB activation; AUF1 (hnRNP D0) binds and destabilizes mRNA; Regulation of expression of SLITs and ROBOs; UCH proteinases; Ub-specific processing proteases; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Downstream TCR signaling; Antigen processing: Ubiquitination & Proteasome degradation; Activation of NF-kappaB in B cells; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; ER-Phagosome pathway; Cross-presentation of soluble exogenous antigens (endosomes); SCF-beta-TrCP mediated degradation of Emi1; APC/C:Cdc20 mediated degradation of Securin; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Vpu mediated degradation of CD4; Vif-mediated degradation of APOBEC3G; Degradation of beta-catenin by the destruction complex; Regulation of activated PAK-2p34 by proteasome mediated degradation; Separation of Sister Chromatids; Autodegradation of the E3 ubiquitin ligase COP1; Regulation of ornithine decarboxylase (ODC); ABC-family proteins mediated transport; Asymmetric localization of PCP proteins; Degradation of AXIN; Degradation of DVL; Hedgehog ligand biogenesis; Hh mutants are degraded by ERAD; Dectin-1 mediated noncanonical NF-kB signaling; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; GLI3 is processed to GLI3R by the proteasome; Hedgehog 'on' state; Regulation of RAS by GAPs; NIK-->noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis; MAPK6/MAPK4 signaling; CDT1 association with the CDC6:ORC:origin complex; Orc1 removal from chromatin; CDK-mediated phosphorylation and removal of Cdc6; G2/M Checkpoints; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; Ubiquitin-dependent degradation of Cyclin D; The role of GTSE1 in G2/M progression after G2 checkpoint; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; ROS sensing by NFE2L2; Regulation of RUNX2 expression and activity; Regulation of PTEN stability and activity; Neddylation; Interleukin-1 signaling; Autodegradation of Cdh1 by Cdh1:APC/C; SCF(Skp2)-mediated degradation of p27/p21; Regulation of RUNX3 expression and activity; Negative regulation of NOTCH4 signaling,Proteasome; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Prion disease; Pathways of neurodegeneration; Epstein-Barr virus infection
O75390,"Citrate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=CS PE=1 SV=2","Citrate synthase, mitochondrial",Homo sapiens,other metabolic processes,mitochondrion,other molecular function,TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc); Amino acid metabolism; Fluoroacetic acid toxicity; TCA cycle (aka Krebs or citric acid cycle),Mitochondrial protein import; Citric acid cycle (TCA cycle),Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Metabolic pathways; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
P41439,Folate receptor gamma OS=Homo sapiens OX=9606 GN=FOLR3 PE=1 SV=2,Folate receptor gamma,Homo sapiens,cell adhesion;cell organization and biogenesis;transport;other biological processes,non-structural extracellular;plasma membrane;other membranes;other cell component,other molecular function,Folate metabolism,Neutrophil degranulation,Antifolate resistance; Endocytosis
P43490,Nicotinamide phosphoribosyltransferase OS=Homo sapiens OX=9606 GN=NAMPT PE=1 SV=1,Nicotinamide phosphoribosyltransferase,Homo sapiens,cell-cell signaling;other metabolic processes;signal transduction;other biological processes,cytosol;nucleus;other cell component,signal transduction activity or receptor binding;other molecular function,"Adipogenesis; NAD metabolism, sirtuins and aging; NAD+ metabolism; NAD+ biosynthetic pathways; Caloric restriction and aging; NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence","BMAL1:CLOCK,NPAS2 activates circadian gene expression; Nicotinamide salvaging",Nicotinate and nicotinamide metabolism; Metabolic pathways; NOD-like receptor signaling pathway
Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,Splicing factor 3B subunit 3,Homo sapiens,RNA metabolism OR transcription;other metabolic processes;other biological processes,nucleus,nucleic acid binding activity;other molecular function,mRNA processing,mRNA Splicing - Major Pathway; mRNA Splicing - Minor Pathway,Spliceosome
Q8WUM4,Programmed cell death 6-interacting protein OS=Homo sapiens OX=9606 GN=PDCD6IP PE=1 SV=1,Programmed cell death 6-interacting protein,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;transport;other biological processes,non-structural extracellular;plasma membrane;cytosol;cytoskeleton;ER/Golgi;other cell component,signal transduction activity or receptor binding;other molecular function,Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells,Budding and maturation of HIV virion; Regulation of necroptotic cell death; Uptake and function of anthrax toxins,Endocytosis
A6NHL2,Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2,Tubulin alpha chain-like 3,Homo sapiens,cell cycle OR cell proliferation;cell organization and biogenesis,cytoskeleton;other cell component,cytoskeletal activity;other molecular function,Alzheimer's disease and miRNA effects; Pathogenic Escherichia coli infection; Parkin-ubiquitin proteasomal system pathway; Alzheimer's disease,Recycling pathway of L1; COPI-dependent Golgi-to-ER retrograde traffic; Separation of Sister Chromatids; The role of GTSE1 in G2/M progression after G2 checkpoint; Translocation of SLC2A4 (GLUT4) to the plasma membrane; Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane; Gap junction assembly; MHC class II antigen presentation; Resolution of Sister Chromatid Cohesion; HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand; Recruitment of NuMA to mitotic centrosomes; Formation of tubulin folding intermediates by CCT/TriC; Post-chaperonin tubulin folding pathway; Cilium Assembly; RHO GTPases activate IQGAPs; RHO GTPases Activate Formins; COPI-mediated anterograde transport; COPI-independent Golgi-to-ER retrograde traffic; Carboxyterminal post-translational modifications of tubulin; HCMV Early Events; Assembly and cell surface presentation of NMDA receptors; Activation of AMPK downstream of NMDARs; Aggrephagy; EML4 and NUDC in mitotic spindle formation; Sealing of the nuclear envelope (NE) by ESCRT-III; Kinesins,Phagosome; Apoptosis; Tight junction; Gap junction; Alzheimer disease; Parkinson disease; Amyotrophic lateral sclerosis; Huntington disease; Prion disease; Pathways of neurodegeneration; Pathogenic Escherichia coli infection; Salmonella infection
P29622,Kallistatin OS=Homo sapiens OX=9606 GN=SERPINA4 PE=1 SV=3,Kallistatin,Homo sapiens,transport;other biological processes,other cell component,enzyme regulator activity,,Platelet degranulation,
H0Y4R1,Inosine-5'-monophosphate dehydrogenase 2 (Fragment) OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=1,Inosine-5'-monophosphate dehydrogenase 2 (Fragment),Homo sapiens,,,,,,
P62318,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,Small nuclear ribonucleoprotein Sm D3,Homo sapiens,cell organization and biogenesis;protein metabolism;RNA metabolism OR transcription;other metabolic processes;transport,cytosol;nucleus;other cell component,nucleic acid binding activity;other molecular function,mRNA processing,mRNA Splicing - Major Pathway; snRNP Assembly; mRNA Splicing - Minor Pathway; RNA Polymerase II Transcription Termination; SLBP independent Processing of Histone Pre-mRNAs; SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs,Spliceosome; Systemic lupus erythematosus
E7EQ69,N-alpha-acetyltransferase 50 OS=Homo sapiens OX=9606 GN=NAA50 PE=1 SV=1,N-alpha-acetyltransferase 50,Homo sapiens,,,other molecular function,Metapathway biotransformation Phase I and II,,
A0A075B797,E3 ubiquitin-protein ligase NOSIP (Fragment) OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1,E3 ubiquitin-protein ligase NOSIP (Fragment),Homo sapiens,protein metabolism;other metabolic processes,nucleus,other molecular function,,,
P06727,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=4,Apolipoprotein A-IV,Homo sapiens,cell adhesion;cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;other biological processes,non-structural extracellular;cytosol;ER/Golgi;other cytoplasmic organelle,transporter activity;enzyme regulator activity;other molecular function,Statin inhibition of cholesterol production; Familial  hyperlipidemia type 1; Familial hyperlipidemia type 2; Familial hyperlipidemia type 3; Familial hyperlipidemia type 4; Familial hyperlipidemia type 5,Retinoid metabolism and transport; Amyloid fiber formation; Chylomicron assembly; Chylomicron remodeling; Assembly of active LPL and LIPC lipase complexes,Fat digestion and absorption; Vitamin digestion and absorption; Cholesterol metabolism; Lipid and atherosclerosis
Q16222,UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens OX=9606 GN=UAP1 PE=1 SV=3,UDP-N-acetylhexosamine pyrophosphorylase,Homo sapiens,other metabolic processes,plasma membrane;other membranes;cytosol;nucleus,other molecular function,,Synthesis of UDP-N-acetyl-glucosamine,Amino sugar and nucleotide sugar metabolism; Metabolic pathways
C9JBF0,Leucine-rich repeat serine/threonine-protein kinase 2 (Fragment) OS=Homo sapiens OX=9606 GN=LRRK2 PE=1 SV=1,Leucine-rich repeat serine/threonine-protein kinase 2 (Fragment),Homo sapiens,,,,Allograft Rejection; MAPK signaling pathway,,
H0YL12,"Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=ETFA PE=1 SV=8","Electron transfer flavoprotein subunit alpha, mitochondrial (Fragment)",Homo sapiens,,mitochondrion,,,,
P46939,Utrophin OS=Homo sapiens OX=9606 GN=UTRN PE=1 SV=2,Utrophin,Homo sapiens,cell organization and biogenesis;developmental processes;other biological processes,plasma membrane;other membranes;cytoskeleton;nucleus;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,Primary focal segmental glomerulosclerosis (FSGS),EGR2 and SOX10-mediated initiation of Schwann cell myelination,
Q9UJZ1,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1","Stomatin-like protein 2, mitochondrial",Homo sapiens,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;signal transduction;other biological processes,plasma membrane;other membranes;cytoskeleton;mitochondrion,signal transduction activity or receptor binding;other molecular function,,Processing of SMDT1,
